url;type;n
https://tiendas.tiendanimal.es/;STORE LOCATOR;2
https://tiendas.tiendanimal.es/andalucia/granada/armilla/tiendanimal-nevada-granada-49;STORE LOCATOR;2
https://tiendas.tiendanimal.es/andalucia/malaga/malaga/tiendanimal-larios-malaga-27;STORE LOCATOR;2
https://tiendas.tiendanimal.es/comunidad-de-madrid/madrid/alcorcon/tiendanimal-parque-oeste-alcorcon-44;STORE LOCATOR;2
https://www.tiendanimal.es/;HOME;5
https://www.tiendanimal.es/advantix-pipetas-antiparasitarias-para-perros/BAY4488389_M.html;PDP;2
https://www.tiendanimal.es/animales-de-granja/;PLP;2
https://www.tiendanimal.es/animales-silvestres/;PLP;2
https://www.tiendanimal.es/articulos/;BLOG;2
https://www.tiendanimal.es/articulos/american-staffordshire-terrier/;BLOG;2
https://www.tiendanimal.es/articulos/como-quitarle-las-pulgas-a-un-perro/;BLOG;2
https://www.tiendanimal.es/articulos/plan-de-vacunacion-para-cachorros/;BLOG;2
https://www.tiendanimal.es/articulos/que-pueden-comer-los-gatos/;BLOG;2
https://www.tiendanimal.es/articulos/sintomas-de-enfermedad-en-las-aves-domesticas/;BLOG;2
https://www.tiendanimal.es/caballos/;PLP;2
https://www.tiendanimal.es/criadores-adulto-pollo-y-arroz-pienso-para-perros-de-raza-mediana/CRD2319_M.html;PDP;2
https://www.tiendanimal.es/gatos/;PLP;2
https://www.tiendanimal.es/gatos/arena-para-gatos/;PLP;2
https://www.tiendanimal.es/gatos/arena-para-gatos/arena-aglomerante/;PLP;2
https://www.tiendanimal.es/gatos/comederos-y-bebederos/;PLP;2
https://www.tiendanimal.es/gatos/comida-humeda/;PLP;2
https://www.tiendanimal.es/gatos/juguetes-para-gatos/;PLP;2
https://www.tiendanimal.es/gatos/pienso-para-gatos/;PLP;2
https://www.tiendanimal.es/hills-science-plan-youthful-vitality-large-pienso-para-perros/HIL45494_M.html;PDP;2
https://www.tiendanimal.es/marca?brand=royal-canin;BRAND;2
https://www.tiendanimal.es/marcas/criadores/;PLP;2
https://www.tiendanimal.es/ombala-desert-cama-para-perros/OMB88551_M.html;PDP;2
https://www.tiendanimal.es/pajaros/;PLP;2
https://www.tiendanimal.es/pajaros/especial-cria-ninfas/;PLP;2
https://www.tiendanimal.es/pajaros/snacks/agapornis/;PLP;2
